code,name,sector,market,lo,hi,c0,c1,gain_lh,gain_cc,date_lo,date_hi,vol_ratio,bars
1673,ウィズダムツリー・メタル・セキュリティーズ・リミテッド　ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,その他,その他,2236.0,17895.0,2604.0,10700.0,700.3,310.9,2021-09-30,2026-01-27,14.29,1225
6862,ミナトホールディングス,電機・精密,スタンダード,378.0,3025.0,434.0,2195.0,700.3,405.8,2022-10-03,2026-02-17,1.32,1225
8386,百十四銀行,銀行,プライム,326.8,2597.5,407.0,2315.0,694.8,468.8,2021-11-29,2026-02-12,1.44,1225
4022,ラサ工業,素材・化学,プライム,275.0,2184.0,446.2,1621.0,694.2,263.3,2022-04-27,2026-02-25,1.25,1225
7080,スポーツフィールド,情報通信・サービスその他,グロース,130.9,1028.0,293.8,922.0,685.3,213.8,2022-01-28,2025-08-25,0.16,1225
8050,セイコーグループ,電機・精密,プライム,918.5,7160.0,943.5,6300.0,679.5,567.7,2021-04-23,2026-03-02,1.1,1225
4004,レゾナック・ホールディングス,素材・化学,プライム,1807.0,13970.0,3325.0,13030.0,673.1,291.9,2022-03-09,2026-03-03,0.97,1225
4323,日本システム技術,情報通信・サービスその他,プライム,354.3,2731.0,367.8,2043.0,670.8,455.5,2021-05-13,2026-01-23,0.25,1225
8360,山梨中央銀行,銀行,プライム,780.0,5870.0,900.0,5790.0,652.6,543.3,2021-12-01,2026-04-08,2.31,1225
1969,高砂熱学工業,建設・資材,プライム,765.0,5749.0,842.0,4639.0,651.5,451.0,2022-05-27,2026-02-13,2.29,1225
8002,丸紅,商社・卸売,プライム,842.0,6328.0,905.1,6088.0,651.5,572.6,2021-08-27,2026-02-12,0.72,1225
5482,愛知製鋼,鉄鋼・非鉄,プライム,470.8,3515.0,912.5,2913.0,646.6,219.2,2022-05-19,2026-02-27,2.28,1225
2038,ノムラ・ヨーロッパ・ファイナンス・エヌ・ブイ　ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ダブル・ブル　ＥＴＮ,その他,その他,438.0,3241.0,451.0,2435.0,640.0,439.9,2021-04-12,2026-03-23,0.07,1225
7189,西日本フィナンシャルホールディングス,銀行,プライム,608.0,4486.0,767.0,4204.0,637.8,448.1,2021-07-09,2026-02-12,1.06,1225
5016,ＪＸ金属,鉄鋼・非鉄,プライム,650.0,4768.0,874.0,4437.0,633.5,407.7,2025-04-07,2026-03-03,2.17,259
5741,ＵＡＣＪ,鉄鋼・非鉄,プライム,464.5,3390.0,645.3,3015.0,629.8,367.2,2022-03-09,2026-02-12,0.78,1225
6492,岡野バルブ製造,機械,スタンダード,2063.0,15000.0,2620.0,11650.0,627.1,344.7,2022-02-07,2026-03-16,62.99,1225
8334,群馬銀行,銀行,プライム,326.0,2343.0,377.0,2278.0,618.7,504.2,2021-12-01,2026-04-08,0.87,1225
6675,サクサ,電機・精密,スタンダード,387.3,2776.7,527.0,2187.0,616.9,315.0,2022-10-24,2026-03-11,4.81,1225
6701,日本電気,電機・精密,プライム,866.0,6194.0,1284.0,4048.0,615.2,215.3,2022-01-31,2025-11-25,0.97,1225
2780,コメ兵ホールディングス,小売,スタンダード,899.0,6390.0,1098.0,4935.0,610.8,349.5,2021-05-12,2023-08-24,0.87,1225
1975,朝日工業社,建設・資材,プライム,681.3,4825.0,755.0,3900.0,608.2,416.6,2022-01-19,2026-03-02,4.42,1225
8358,スルガ銀行,銀行,プライム,314.0,2223.0,418.0,2159.0,608.0,416.5,2021-07-09,2026-04-08,0.4,1225
4439,東名,情報通信・サービスその他,スタンダード,181.8,1274.5,289.8,966.0,601.0,233.3,2022-05-13,2025-02-05,1.17,1225
5602,栗本鐵工所,鉄鋼・非鉄,プライム,291.6,2044.0,350.0,1556.0,601.0,344.6,2022-03-08,2026-01-16,7.31,1225
1605,ＩＮＰＥＸ,エネルギー資源,プライム,716.0,4955.0,755.0,4230.0,592.0,460.3,2021-08-23,2026-03-30,0.52,1225
1921,巴コーポレーション,建設・資材,スタンダード,338.0,2339.0,396.0,2207.0,592.0,457.3,2022-11-04,2026-01-23,1.52,1225
7236,ティラド,自動車・輸送機,プライム,1720.0,11840.0,1955.0,8200.0,588.4,319.4,2023-06-08,2026-02-12,0.65,1225
6961,エンプラス,電機・精密,プライム,2365.0,16250.0,4135.0,14200.0,587.1,243.4,2022-03-11,2026-03-17,2.84,1225
5729,日本精鉱,鉄鋼・非鉄,スタンダード,610.0,4175.0,702.8,2491.0,584.4,254.4,2024-04-17,2025-10-15,14.51,1225
